epoch,binary_accuracy,loss,lr,multi_auc,precision,recall,val_binary_accuracy,val_loss,val_multi_auc,val_precision,val_recall
35,0.9482903480529785,0.016817690804600716,8.999999e-06,0.6680682897567749,0.0,0.0,0.9478552937507629,0.016928479075431824,0.6995988488197327,0.06428571790456772,0.0005539143458008766
36,0.9482933282852173,0.016818072646856308,8.999999e-06,0.6680894494056702,0.0,0.0,0.9480081796646118,0.01685112528502941,0.6991236805915833,0.08888889104127884,0.0004923683009110391
37,0.9482938647270203,0.016818122938275337,8.999999e-06,0.6687653660774231,0.0,0.0,0.9480081796646118,0.017214085906744003,0.6887844204902649,0.07954545319080353,0.0004308222560212016
38,0.9482933878898621,0.016817491501569748,8.999999e-06,0.670235276222229,0.0,0.0,0.9479508399963379,0.01726416125893593,0.6911472678184509,0.07407407462596893,0.0004923683009110391
39,0.9482961297035217,0.01680353656411171,8.999999e-06,0.6729365587234497,0.0,0.0,0.9477437734603882,0.016863204538822174,0.7022379636764526,0.07567567378282547,0.0008616445120424032
40,0.9482920169830322,0.016804644837975502,8.999999e-06,0.6711476445198059,0.0,0.0,0.947963535785675,0.016947828233242035,0.6983694434165955,0.08490566164255142,0.0005539143458008766
41,0.9482963681221008,0.01680607534945011,8.999999e-06,0.6697954535484314,0.0,0.0,0.9479572176933289,0.016920503228902817,0.6987112164497375,0.06730769574642181,0.0004308222560212016
42,0.9482927918434143,0.01680770516395569,8.999999e-06,0.6702355742454529,0.0,0.0,0.9480240941047668,0.016970856115221977,0.6968941688537598,0.0941176488995552,0.0004923683009110391
43,0.948293149471283,0.016802724450826645,8.999999e-06,0.6728638410568237,0.0,0.0,0.9478139281272888,0.017207229509949684,0.7022081613540649,0.06451612710952759,0.0006154603906907141
44,0.9482902884483337,0.01679261028766632,8.999999e-06,0.6720530390739441,0.0,0.0,0.9478042721748352,0.016893593594431877,0.7021986842155457,0.06875000149011612,0.0006770063773728907
45,0.9482918977737427,0.016761712729930878,2.6999999e-06,0.6754376292228699,0.0,0.0,0.9480369091033936,0.016738569363951683,0.7023957967758179,0.08860759437084198,0.0004308222560212016
46,0.9482907652854919,0.01678657904267311,2.6999999e-06,0.6714871525764465,0.0,0.0,0.9478488564491272,0.016878776252269745,0.701964795589447,0.06338027864694595,0.0005539143458008766
47,0.9482909440994263,0.0167856402695179,2.6999999e-06,0.6744402647018433,0.0,0.0,0.9478424787521362,0.01688789762556553,0.7016741633415222,0.07432432472705841,0.0006770063773728907
48,0.9482923746109009,0.01678287982940674,2.6999999e-06,0.6739004850387573,0.0,0.0,0.947797954082489,0.016933659091591835,0.7029353976249695,0.0731707289814949,0.0007385524222627282
49,0.9482913017272949,0.016785141080617905,2.6999999e-06,0.6748247146606445,0.0,0.0,0.9478648900985718,0.016930127516388893,0.700798511505127,0.05925925821065903,0.0004923683009110391
50,0.9482905864715576,0.016780564561486244,2.6999999e-06,0.6738300323486328,0.0,0.0,0.9477405548095703,0.01694197580218315,0.7028605341911316,0.07065217196941376,0.0008000984671525657
51,0.948292076587677,0.016770528629422188,2.6999999e-06,0.6756458878517151,0.0,0.0,0.9478393793106079,0.016976376995444298,0.7013124823570251,0.06802721321582794,0.0006154603906907141
52,0.9482918381690979,0.01676550693809986,2.6999999e-06,0.6736952662467957,0.0,0.0,0.9478808045387268,0.01701069064438343,0.698875367641449,0.0746268630027771,0.0006154603906907141
53,0.9482918977737427,0.0167759470641613,2.6999999e-06,0.6739201545715332,0.0,0.0,0.947810709476471,0.016866007819771767,0.7049389481544495,0.06962025165557861,0.0006770063773728907
54,0.9482935070991516,0.016764266416430473,2.6999999e-06,0.6746585965156555,0.0,0.0,0.9478616714477539,0.016840467229485512,0.7027401924133301,0.0714285746216774,0.0006154603906907141
55,0.9482938647270203,0.01677119918167591,2.6999999e-06,0.675195038318634,0.0,0.0,0.9478583335876465,0.016997499391436577,0.7002070546150208,0.07692307978868484,0.0006770063773728907
56,0.9482941627502441,0.01676405780017376,2.6999999e-06,0.6755397915840149,0.0,0.0,0.947941243648529,0.0168613288551569,0.7017079591751099,0.07207207381725311,0.0004923683009110391
57,0.9482920169830322,0.016759226098656654,2.6999999e-06,0.6757026314735413,0.0,0.0,0.9479508399963379,0.01685364544391632,0.7014862895011902,0.07407407462596893,0.0004923683009110391
58,0.9482896327972412,0.0167629923671484,2.6999999e-06,0.6753158569335938,0.0,0.0,0.9478075504302979,0.017012840136885643,0.699679434299469,0.06369426846504211,0.0006154603906907141
59,0.9482943415641785,0.016758384183049202,8.0999996e-07,0.6745872497558594,0.0,0.0,0.9478170275688171,0.0169166661798954,0.7025876641273499,0.07051282376050949,0.0006770063773728907
60,0.9482933282852173,0.01676371693611145,8.0999996e-07,0.6746044158935547,0.0,0.0,0.947826623916626,0.016896668821573257,0.7032166123390198,0.06622516363859177,0.0006154603906907141
61,0.9482928514480591,0.016757437959313393,8.0999996e-07,0.6768597364425659,0.0,0.0,0.9476991295814514,0.01703791134059429,0.703151285648346,0.07035175710916519,0.0008616445120424032
