epoch,auc_1,binary_accuracy,loss,lr,precision_1,recall_1,val_auc_1,val_binary_accuracy,val_loss,val_precision_1,val_recall_1
0,0.6793016791343689,0.9014171957969666,0.41484832763671875,1e-04,0.6130362749099731,0.013033716008067131,0.7321683764457703,0.8938741087913513,0.4244805574417114,0.7781094312667847,0.05455179512500763
1,0.7583078145980835,0.9052115678787231,0.3745614290237427,1e-04,0.8675239086151123,0.050889380276203156,0.7624430060386658,0.8978187441825867,0.4036918878555298,0.8204667568206787,0.09564004093408585
2,0.8036253452301025,0.9093798398971558,0.3475840091705322,1e-04,0.9025360345840454,0.09551626443862915,0.7877678871154785,0.8998134732246399,0.39992988109588623,0.8606290817260742,0.11070805788040161
3,0.8423036932945251,0.9139699339866638,0.32059359550476074,1e-04,0.9189763069152832,0.14424797892570496,0.8134762048721313,0.9036274552345276,0.36722561717033386,0.8753599524497986,0.14844785630702972
4,0.8775734901428223,0.9193353056907654,0.2912643551826477,1e-04,0.927130401134491,0.20154018700122833,0.8470740914344788,0.9078714847564697,0.34580767154693604,0.8999999761581421,0.18646669387817383
5,0.9103953838348389,0.9264949560165405,0.25771433115005493,1e-04,0.9336518049240112,0.27770760655403137,0.8287088871002197,0.9090120196342468,0.37043362855911255,0.8159739375114441,0.22734566032886505
6,0.9411445260047913,0.9361100792884827,0.21747533977031708,1e-04,0.9410713315010071,0.3787496089935303,0.8544042706489563,0.9142652750015259,0.36289793252944946,0.8397626280784607,0.27638646960258484
7,0.9812955856323242,0.9597454071044922,0.13161075115203857,5e-05,0.9630298614501953,0.6173385381698608,0.8620112538337708,0.9190652966499329,0.435325562953949,0.7714447975158691,0.37956053018569946
8,0.9940749406814575,0.9765340089797974,0.07749639451503754,5e-05,0.9737128615379333,0.784285843372345,0.8591604232788086,0.9174239039421082,0.5309107303619385,0.7335917353630066,0.396093487739563
9,0.9989060759544373,0.9904882311820984,0.03376270830631256,2.5e-05,0.9882150292396545,0.9149388074874878,0.8523629307746887,0.9175937175750732,0.7366492748260498,0.7150118350982666,0.42197418212890625
