epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
25,0.7089536786079407,0.9482174515724182,0.19424161314964294,8.0999996e-07,0.15217390656471252,0.00032343517523258924,0.7579711675643921,0.9480332136154175,0.18427909910678864,0.1489361673593521,0.0008616445120424032
26,0.7462807297706604,0.9482870697975159,0.18553222715854645,8.0999996e-07,0.3181818127632141,0.00010781172750284895,0.77942955493927,0.9481096863746643,0.1791718751192093,0.2083333283662796,0.0009231905569322407
27,0.7611917853355408,0.948298454284668,0.18166029453277588,8.0999996e-07,0.6153846383094788,0.0001232134090969339,0.7871349453926086,0.9480937719345093,0.176493838429451,0.21686747670173645,0.0011078286916017532
28,0.7682625651359558,0.9482896327972412,0.1796814203262329,8.0999996e-07,0.4000000059604645,9.241005318472162e-05,0.7915704250335693,0.9481192827224731,0.17503035068511963,0.25925925374031067,0.0012924667680636048
29,0.7733292579650879,0.9482948780059814,0.1784610003232956,8.0999996e-07,0.46875,0.00023102512932382524,0.7939993739128113,0.9481257200241089,0.17431017756462097,0.27710843086242676,0.0014155588578432798
30,0.7750800251960754,0.9483014345169067,0.1778658926486969,8.0999996e-07,0.6666666865348816,0.0003388368641026318,0.7952351570129395,0.948106586933136,0.1738520711660385,0.29523810744285583,0.001907927100546658
31,0.7768881916999817,0.9482955932617188,0.17733868956565857,8.0999996e-07,0.5365853905677795,0.0003388368641026318,0.7962477803230286,0.9481000304222107,0.17357420921325684,0.3426573574542999,0.0030157556757330894
32,0.778527557849884,0.9482828378677368,0.17696228623390198,8.0999996e-07,0.39534884691238403,0.0002618284779600799,0.7978203892707825,0.9481033682823181,0.17313909530639648,0.3166666626930237,0.0023387493565678596
33,0.7798506617546082,0.9482829570770264,0.17667169868946075,8.0999996e-07,0.4225352108478546,0.0004620502586476505,0.7981852293014526,0.9481194019317627,0.1730390340089798,0.34645670652389526,0.002708025509491563
34,0.780293345451355,0.9482828378677368,0.17663022875785828,8.0999996e-07,0.44186046719551086,0.0005852636531926692,0.7979493737220764,0.9481000304222107,0.17304369807243347,0.37142857909202576,0.0040004923939704895
35,0.7812475562095642,0.9482837915420532,0.17638950049877167,8.0999996e-07,0.4444444477558136,0.0005544603336602449,0.79909747838974,0.9481034278869629,0.1727871149778366,0.35333332419395447,0.0032619398552924395
36,0.7821890711784363,0.9482932090759277,0.1762024164199829,8.0999996e-07,0.5060241222381592,0.0006468703504651785,0.7990645170211792,0.9480905532836914,0.17281527817249298,0.37368419766426086,0.004369768779724836
37,0.7818552255630493,0.9482860565185547,0.17624498903751373,8.0999996e-07,0.4680851101875305,0.0006776737282052636,0.7999734282493591,0.9481129050254822,0.17257159948349,0.3801169693470001,0.0040004923939704895
38,0.7826855182647705,0.9483003616333008,0.17607450485229492,8.0999996e-07,0.5666666626930237,0.0007854854338802397,0.800991415977478,0.9481001496315002,0.17229165136814117,0.37288135290145874,0.004062038380652666
39,0.7837288975715637,0.9482797384262085,0.17590086162090302,8.0999996e-07,0.4117647111415863,0.0005390586447902024,0.8013699650764465,0.9481257200241089,0.17227372527122498,0.379084974527359,0.003569670021533966
40,0.7839600443840027,0.9482823610305786,0.17580439150333405,8.0999996e-07,0.4318181872367859,0.0005852636531926692,0.8017215132713318,0.9481096863746643,0.1721488982439041,0.3581081032752991,0.0032619398552924395
41,0.7845187187194824,0.9483054876327515,0.17570903897285461,8.0999996e-07,0.5858585834503174,0.0008932971977628767,0.8017433881759644,0.9480905532836914,0.17216169834136963,0.38461539149284363,0.004923683125525713
42,0.7845354080200195,0.9482885003089905,0.17574936151504517,8.0999996e-07,0.4732142984867096,0.0008162888116203249,0.8017541170120239,0.9481321573257446,0.172201007604599,0.4000000059604645,0.0043082223273813725
43,0.78457111120224,0.9482924342155457,0.17567606270313263,8.0999996e-07,0.4912280738353729,0.0008624938200227916,0.8023419380187988,0.9481192827224731,0.17199353873729706,0.3708609342575073,0.003446578048169613
44,0.7855328321456909,0.948286771774292,0.17544536292552948,8.0999996e-07,0.4516128897666931,0.0006468703504651785,0.8026941418647766,0.9481192827224731,0.17207619547843933,0.3708609342575073,0.003446578048169613
45,0.7853684425354004,0.9482737183570862,0.17552025616168976,8.0999996e-07,0.36781609058380127,0.0004928536363877356,0.803085207939148,0.9481226205825806,0.1718205362558365,0.37662336230278015,0.003569670021533966
46,0.7850305438041687,0.948280930519104,0.17558899521827698,8.0999996e-07,0.44329896569252014,0.000662272039335221,0.8033111095428467,0.948119580745697,0.17175401747226715,0.38728323578834534,0.004123584367334843
47,0.7864669561386108,0.9482941627502441,0.17526233196258545,8.0999996e-07,0.5,0.0006006653420627117,0.8031945824623108,0.948135495185852,0.17175020277500153,0.40760868787765503,0.004615952726453543
48,0.7858237028121948,0.9482901096343994,0.17545822262763977,8.0999996e-07,0.47777777910232544,0.000662272039335221,0.8034378290176392,0.9481322765350342,0.17180199921131134,0.3976608216762543,0.004185130354017019
49,0.7864439487457275,0.9482808709144592,0.1752856969833374,8.0999996e-07,0.42718446254730225,0.0006776737282052636,0.8029813766479492,0.9481194615364075,0.17173054814338684,0.4010152220726013,0.004862136673182249
50,0.7865338325500488,0.9482993483543396,0.17527633905410767,8.0999996e-07,0.5480769276618958,0.0008778955088928342,0.8037892580032349,0.9481164216995239,0.1715787947177887,0.4019607901573181,0.005046775098890066
51,0.7863355875015259,0.9482970833778381,0.17531348764896393,8.0999996e-07,0.5315315127372742,0.0009086988866329193,0.8039309978485107,0.9481353163719177,0.17166973650455475,0.40340909361839294,0.004369768779724836
